,Review,Rating
2607,"not conferences groups need internet no internet, employer booked hotel week worldwide sales conference, group 300 people, presenters internet working order present, attendees needed internet check email work done.the wi-fi internet network did not work day hotel added wife router network not working.other issues, food drink prices double local places, complimentary water bottles room not replaced, maintenance going late night used potent chemical smell inside room door jamb gap making feel sick couple nights.finally beach not great, el condado beach san juan better,  ",1
11668,"come hide-a-way blue lagoon stayed 4 nights, wonderful staff friendly willing help directions suggestions, room clean large, free breakfast buffet free safe parking provided, near 836 826 mia airport waterford corporate park, 10-15 minutes beach car needed free bus available mia airport, room view lagoon u not disappointed,  ",5
12951,"good bad husband arrived serennis trop suit th 17th sep 2003 transfer hell.it said brochure approx transfer time 45 mins.however took 1 hour 45 mins rough roads taxi air conditioning.when arrived welcomed needed cold drink.check swift.we given map showing position suite home 2 weeks bellboy brought cases shortly showed safe work air conditioning helpful.we positioned balcony faced beach near, rooms lovely immaculately clean needed.the fridge stocked soft drinks water daily.we thought paradise, days holiday husband developed diarrheoa stomach cramps.we took immodium helped diarrhoea stomach cramps days went local shop sell remedies expensive.then husband started better second week symptons ended making trip shop pepto bysmolat seven pounds time ill birthday maid cheered making display swans towels fresh flowers feel dissapointed unable eat drink participate activities t ill.we got friendly couple symptons overheard people complaining upset stomachs person accident footpath leading upto suite, real shame complex brilliant immaculately clean staff efficient friendly happy work loved children big fuss unfortunately n't think going dom rep hurry,  ",2
4023,"excellent location osj isla verde airport, stayed hotel milano january 27 great choice one-night stay going vieques, location excellent exploring osj best choice proximity isla verde airport tho website said minimum two-nights allowed reservation just night, confirmed availability email called credit card phone, responsive email, wrote later recommendation nearby restaurant celebrate birthday juan extended bottle red wine restaurant building, mentioned breakfast basic ca n't wrong little juice fruit toast cereal start day room rear inside handicap room bathroom large, seen posts inside rooms no windows small ones, heard thump thump thump nearby club evening, not exhausted travel walk osj instead tucked night, no complaints, location excellent particularly pleased close isla verde airport, 10 minute taxi 12, paid 15 sju.by way highly recommend flying isla verde vieques destination served airport, flickr search viequesairlink photos flight sorry n't milano wishing safe fun travel,  ",5
2535,"spend time enjoying vacation vacation best long time, ca n't wait, hotel offer did n't know, service fantastic, hotel staff friendly sure taken care, wanted make sure gave special thanks members hotel staff jeffrey franceschi pablo frese, young men went way make stay enjoyable comfortable, tribute el conquistador resort having employees understand make customer happy,  ",5
14421,"wonderful hotel friendly helpful staff stayed hotel antiche figure 3 nights room fourth floor overlooking grand canal, not warmly greeted desk clerk francesca shown rooms different floors choose stay, hotel room bathroom beautiful incredibly spotless, working hotel friendly helpful, breakfast staff fresh cappucinos request morning.we loved location hotel, directly train station short walk bus terminal easy access traveling venice, hotel distance st. mark square plus congested allowed explore enchanting alleys venice.travel tip large suitcases difficult maneuver stairs bridges venice, suggest travelers venice pack light walking hotel,  ",5
494,"good airport hotel hilton seattle airport good airport hotel.if book on-line advance purchase cheaper comparable product airport marriott.the room comfortable food great shuttle convenient, prefer hotel seattle airport marriott.internet costs 10 night standard good hotel.others extras stay cheap motel like red roof,  ",4
16869,"good choice unless come car nice clean hotel friendly staff breakfast ok cereals bagels bread fruits yogurt coffee juice eggs wafers, various best western hotels visited world better ones, no wireless room network cable room worked fine, safe available room, guess hotel renovated recent years.the hotel nicely located walking distance harrah casino river front/river mall saks fifth avenue small mall attached importantly french quarter, nothing perfect, not right place come car, no parking door 2-3 space stop moment disembark luggage absolutely no parking possible hotel no public parking lot 10 day expiring 7am no in-out-option worthless overnight parking, option using hotel agreement valet parking company dangerously unreliable, staid 6 nights hotel gathered statistical significance called car wait 20-30 minutes got, worse instance car burrowed knowledge consent valet parking driven 80-100 miles, noticed trash car gas nearly, took 2 1/2 hours file complain valet parking talk police, missed morning business, settlement valet parking pending, furthermore hotel charges 25 valet parking understood inquired 20, conclusion nice hotel good value money, recommended comfortable budget travel people n't come rental car, stay away hotel come car, no idea hotels area better respect parking, inquire hotel consider use valet parking apparently nation wide company yes stay away hotel-owned parking lot.without parking issue rate average maybe excellent respect value money,  ",3
771,"not stay hotel going rennovations not worth staying, woke drilling hammering single morning requested room change did not tend 3 days later, checking morning, staff totally unaccomodating looked college students, experience horrible stay want quiet relaxing stay,  ",3
4396,"tremendous value paris family booked rooms paris visit mom 75th birthday, family members paris previously specific accommodation requests task choose hotel potential field partcularly knew family spending hours selection task chose hotel turned wonderfully, family members loved place stay future, location quiet street close paris offers, able walk location, rooms quite nice lobby area beautiful provided tranquil oasis early evening cocktail, geogously decorated filled spectacular floral arrangements orchids, staff not friendlier helpful totally proficient english.best bargain high priced paris, room rate just 199 euro night including continental breakfast taxes, breakfast served beautiful solarium outdoor garden adequate not best, consisted coffee fresh orange juise basket breakfast breads.all ca n't imagine better value paris,  ",5
12518,"right time grand paradise mom went grand paradise june 3rd 10th, check quick receptionist gave wrong room, thank goodness maid knew room staying, really helps knowing spanish, better service, noticed dinner ordered drinks people received long did, remember entering country, kind hard speak perfect english cominicate, hotel exceptionally clean, clean leave trash, everybody, night 8 game spoke french, kareoki pick songs language, host spoke 6 different languages translated said understand, food average, didnt expect taste american food afterall dominicans ones cooking, tried cook country meals variety, fun try wierd stuff wouldnt usually eat, need open mind dont scared try new, dont dissapointed doesnt taste way making it.we met girl worked main buffet, kayla sweetest person met, took higuay city hour away lives shoping, went house, lets just say im glad live united states, lives hard life people work tip deserve, nice little plaza outside hotel shopping, visiting little stores sell thing, just better deal, gets tiring people work, follow beg buy stuff, little basket souvenirs guys add stuff permission hoping wont back.all pretty good stay things better, thing uncomfortable men worked hotel, notice male, hit women, dont care husband boyfriend family members hit, whitle blow kisses say things spanish, know english speakers wont understand im bilingual understood descusted, got wierd, getting new towel pool group male workers surrounding staring saying things, shopping crouched looking man came hands shoulders close neck massaging asking needed help, dont know thats disrespectful unprofessional, went outback safari tour great tour guides car did thing, flirting cute seven days just annoying drove nuts, mom wants probably wont, tough seeing little children road begging money following, know probably country,  ",3
10133,"christmas break went hotel 3 day break 27th 29th dec thoroughly enjoyed brilliant location, stayed 3rd floor room clean quiet, use safety deposit box 1.20euro bedroom wardrobe gives piece mind passport money, ramblas interesting recommend, breakfast fine deal included hotel price, tourist bus 22 euro 2 days takes hotspots want, excellent value, no problem homeless square hotel did n't bother, stay,  ",4
17553,"not good expected just returned weeks stay affinia 50. chose hotel based tripadvisor reports say bit disappointed, rooms not clean expected looked room hadn__Ç_é_ vacuumed prior arrival, towels bed linen changed day bed comfortable.most staff pleasant doormen rarely seen did odd occasion not overly pleasant.location hotel good bedroom suite stayed huge bathroom bit small, feel hotel ok overall does not really deserve hotels new york,  ",3
3596,"fabulous, just got back- july 17-21. days nights way short, really days enjoy-big mistake-needed, planning did not know nor heard it- random-so picked short trip thinking better leave wanting come ready leave second day disappointment, husband 43 took 19 year old college girls daughter best friend, teenagers miserable miserable thought play safe, far disappointment, stay week, depressed day ca n't explain, sun sets 7 p.m. arrived airport setting, awesome place, open air aeropuerta no problems, quaint welcoming, probably best airport experience international domestic, easy easy easy.the funjet host bus matthew great, actually new york spent time oklahoma informative differences cultures experienced, ride resort dark got truly amazing, lobby checkin beautiful staff awesome, hola olga, love, beach lit beautiful-even not night, knew right decision, caught progress..fun, way casino door dominicana- hey ramone, pit manager, small open air adventurous type, headed blackjack great time night 3 a.m. won lost won lost- played fun people, hello lindsay stephanie jersey girls, yes safe walk way room resort time night great peaceful romantic stroll, walked resort night lit not wait sun came day beauty time, did grounds pool beach, thought garden eden, no way explain.i comment negatives read provide tips, rooms- n't, smelled like ocean sea, gambled 3 a.m. bed 4 a.m. got 9 a.m.- breakfast beach pool dinner, day schedule, short, marble bathrooms tile floor fridge cold room temp, just right no ants did small lizard door, thankfully outside say dallas bugs, humidity- nothing bad expected reading reviews, worse mexico south padre island days dallas time year, rain- night minutes, clouds blew sea, beautiful, ran beach bar, poured rain, drink, listened merengue beach bartender ysidro played songs rain stopped, took nap palapa, does n't better, majority trip sun, went, beach barbeque blast, great food merengue dancing lots culture food-struggled little knew going, ate steak house used texas beef cut real moo'in steak bit disappointment expect, n't expect great spaghetti italy right, principle, rome ate japanese, tasty bet japanese critical, n't expect steaks texas, si, wild adventurous hat sneak taste weird looking fruit, surprise, good, natural food eat, grow profit live proud, try, beach bar serves great hot dog chips fries, share, water tell bus ride orientation funjet n't drink tap water, true- referring water hotel room, use bottled water fridge rinse brushing teeth- drink bottled water room aside water ice served hotel restaurants bars including beach bar casino filtered hotel, ordered drank days- slight problem probably food eating, n't real problem just frequent not did not slow, immodium just case, shopping-amazingly best prices shop resort, purchase liters dominican rum pounds dominican coffee 24, shocking, enjoying states worth trip, ca n't wait purchase, allowed 2 liters dark rum person 4 pounds coffee person not sure tobacco, no cuban cigars obviously ca n't bring usa illegal trade bring limits dominican tobacco, not buy white rum-151 proof, not allow plane period check-on bags search suitcase, flammable according airport personnel, stick dark rum, white rum like gasoline, beach flea market great time, bought things bargaining great not mention fun, price offer half, caribbean street path runs bavaro dominicana iberostar good deals, mosquitos- none, not bite got texas, took bug spray used, talkin late nights grounds early mornings, suggest taking n't let stories away.beach- beautiful paradise, white sand blue water palm trees, truly corona commercial- know talking, plenty chairs, yes topless girls, need theirs husband argue needed theirs, europeans, pool- beautiful night day does need paint job bridge really cares, read complaints not able chairs- did n't spend time pool, came beach relaxed pool fresh water swim-up bar socialiaze, problem getting chair 6 p.m. coming nap beach, really tried, mind live texas pool n't travel beach resort spend day pool, going pool need little early chairs, tips insulated mugs homework like did family loves, hero envy guests did not know, insulated drinking thermoses, bar lobby pool beach insulated mug drink, keeps colder small plastic cups served pool beach plus saves trips, mug pina colada beach forever getting hot, filled mugs walked beach flea market shopped mugs cold drinks time got, walkie-talkies- come handy, husband heading beach staying gathering things realizes forgot radio ask bring, saves lots time, thinking staying, stay bavaro suites benefits properties resort dominicana punta cana, restaurants shows pools casino, wish say excursions, heard read great, short time did not advantage year sure, stay, not regret, ca n't wait, thing hold year decide hunt kenny chesney st. crouix st. thomas, texans tennessians know talkin, help,  ",5
8009,"n't stay sur stayed resortquest waikiki recently dissapointed exremely poor service surfers, long time surf traveller informed check not surfboards room regulations time 12 years surf travel encountered rule, initially ignored requests store boards storage area no choice desk disabling room key, escorted security offending surfboards storage area, eventuated checkout reason staff insistent storing boards charge 10 usd day luxury storing surfboards shelf, cavalier attitude charging extended use safe room cost 3 usd day, food provided breakfast atrocious mainly consisted fatty mass produced goop french toast fingers dripping grease super processed breakfast burritos food ok guests non american traveller severely lacking, summary resort quest ok rooms nice location attempt balatantly strip guests wallets given opportunity, reccomend avoiding hotel,  ",2
15030,"fantastic stay, stayed 1 night intercontinental singapore n't fault, entering hotel immediately uplifted smell fresh lemongrass wafts air, check smooth received upgrade premier room smoking room did provide air purifier room, room large views bugis area, king size bed comfortable nice elemis products bathroom, hotel connected bugis junction shopping mall providing easy access bugis mrt just underneath no minutes walk hotel, taxis airport cost sgd 25.the hotel easy walking distance city centre raffles city little india, chinatown stops away mrt.breakfast olive tree restaurant consisted standard hotel buffet, tastes english continental asian breakfasts catered, service friendly efficient.i agree reviews relatively steep pricing items hotel 12 dollars bottle water just corner 24 hour store selling bottled water far less.overall extremely enjoyable stay intercontinental singapore definitely return,  ",5
15481,"good average sheraton guess bit spoilt having stayed shangri-la just days, good hotel lacking local character sheraton world, staff helpful maintained decorated rooms good breakfasts nothing like good shangri-la, hotel just steps newton smt staton singapore cheap taxis best option unless ca n't happen away hotel,  ",4
10532,"great place quaint hotel middle las ramblas place offers good value service comfort, right las ramblas noise issue late night revellers disturbing semblance tranquility, life spain things n't really started midnight, place suits traveller attempting authentic touristic experience ingratiating culture guide-book volture prefers early nights, astounded fact drinks beer soft drinks waters provided guests free, true hospitality, breakfast buffet available 24 hours day, breakfast simple boiled eggs tomotoes breads decent, trust advice hotel staff know good restaurants area,  ",4
2450,"great service nice pool ok beach lovely grounds small rooms stayed 5 days 4 nights 1st 5th, quick cab ride hotel, no line checkin requested king bed guaranteed offered doubles b club level floor, wasnt thrilled went, grounds hotel beautiful, issue posters close airport nonissue, inside hotel heard planes taking, outside hotel heard thrusts engines twice, white noise wind pool people ocean not airport thought, club level nice, compare club levels st. regis aspen, pales compared worth upgrade, club level 5 sittings day food drinks champagne/wine/mixed drinks night, free newspapers coffee drinks nice touch, young family especially baby club level opinion, open 7am 10pm, service club level great staffed personal concierge, food club level ok impression mass production convenience great, rooms, rooms nice nothing spectular, somewhat small nice view paid mini-bar no separate refrigerator adveristed nicely appointed bathroom robes, glaring miss no place hang wet clothes day beach, clothes lines cost 5, nice tv dvd player included, cleaning people good nice ladies, free internet access no wireless wireless lobby, beach pool, pool main attraction hotel, no problem finding chairs towels abundant, drink/waiter service nonexistent, staff did good job turning chairs, beach 3 hammocks lounge chairs nice beach, beach wide long low breakers, not crystal blue tahiti better ft. lauderdale beaches, like gamble casino nice, craps 2x odds 15 blackjack double zero roulette, no limit locals playing, drink service good, dinner hotel, el mulino tip not order specials not want sticker shock, la carte fish dish cost 80, mind n't rare succulent japanese poison fish dover sole, maybe sole swallowed caviar feeding n't minded n't mind paying good meal n't want pay 20 cup coffee example coffee incident did n't actutally occur, fared better blt fully priced knew, mares ok nothing great food, overall staff pleasant property nice, met nice people, ca n't comment location dinner old san juan did n't leave resort, overall outstanding service ritz worth trip,  ",4
8894,"overrated not spend, lurred 5* rating, hotel definitely worth 4* not, 5* expect perfect, hotel nice no mean luxurious, entrance marble style corridors rooms walls raw brick, room noisy not patio expected thicker windows filter noise street.the location convenient.i personel friendly specially concierge better average.the hotel crowded wait 15 minutes line seated breakfast got best rate hotel web site directly 135 euros breakfast included,  ",3
12924,"good bad trip not soon forget, resort simply amazing, big, stayed tropical place holds 3,000 people easy, rooms nice clean did moved condensation a.c. got bad dripped heads night, problem resolved quickly no problem, strongly recomend horseback riding, affordable enjoyable, snorkling just good free resort tours.the resort staff friendly especially buds julio sucre favourite swim bar, easy place meet people make friends, entertainment ok use improvement, accomodations poolside beach awsome.but better yer outta bed b4 8:00 grab good spot palm shelters, oh popular sunbathe topless, seen 1 seen em ok couple worth 2nd peek advice 15.00 u.s. safety deposit box cash valuables im trying not let ruin vacation need 20.00 u.s. cash dept, tax airport way home, 60.00 hung second day luck ran like magic dissapeared wifes semi secret compartment walet guess cleaning staff tip, really pissed low rating, bring pepto bismol n't think thats gunna save, no chance charlie banyo bathroom gets workout eating stuff place dishes im not talkin just little bit talkin need day work, yes serenis worth money, no worry getting sick ripped place charges, hope little note helps prepare decide hey ya wan na just kick chill great steak ice cold beer red hot lover stay home come place, cheers, fraggle*** toronto canada,  ",2
11347,"phrase pay rang truer great things hotel location price.i nothing good say, figured budget evening planned new needed clean bed lie hours, cheapest deal reputable website, wish read reviews, n't worth pittance paid tiny room tall room maybe foot longer bed horrible plain wallpaper plastic garden furniture chair tiny bathroom blocked sink bad smell make bed lay hotel felt like trap.and rest clientelle amsterdam just stoned judging eyes.spend euro dingy,  ",1
18369,"wonderful value money just got hk, ramada room delight price 100 usd/nite, clean tastefully decorated plenty little shelves storage, hotel far west end hk island old town offers delightful places eat locals convenient central tram taxi, gym joke aside impressed overall quality got hotel, definitely recommend,  ",5
15707,"brilliant hotel arrived hotel little disappointed location soon changed mind, stayed hong kong island decided try kowloon certainly return, relatively new hotel light spacious not easily hong kong, room average size overlooked bay, facilities cleanliness excellent breakfast buffet included superb.there free shuttle bus star ferry terminal close nathan road metro taxis cheap quicker, plus short walk promenade ferry goes central hong kong island.try harbour grill restaurant food service fantastic,  ",5
4893,"artus good base short stay stayed hotel artus 2 nights end august 2007. booked basis review old ownership hotel buci latin clearly lost character chain hotel, staff helpful hotel clean nice, suite let face decent size room sofa maybe norm paris, 300 euros night little pricey london standards not excessive, nice view balcony bustling street, loads places nearby eat drink lack bar restaurant not problem, breakfast not great inclusive.has said biggest plus place superb location walking distance tourist traps mentioned plenty good bars restaraunts, staff excellent set bookings excellent restaurants happy provide directions arrange taxis, overall recommended sure return,  ",4
6221,"absolutely best beach waikiki, absolutely best beach waikiki, water waikiki hotels narrow little beach, marriott situated widest beach waikiki, rented timeshare units bedroom completely equipped kitchen, price fantastic comparison marriott luxury double rooms, unit super clean cleaning service daily, cleaned kitchen, timeshare tower fantastic view pacific surfers diamond head, view obstructed tower fabulous, timeshare rentals available normal marriott reservations, pool best largest waikiki aware, returned waikiki stay marriott,  ",5
2643,"great hotel great trip husband went puerto rico brother girlfriend august 2006. loved, avid travelers quite data points compare, service hotel incredible half stay hosting business convention hotel clearly fully booked, man checked desk exceptionally helpful ensuring got rooms close upgrading ocean view rooms, person stood concierges spent quite time going area attractions, restaurant housekeeping staff helpful.the hotel quite nice rooms golf course restaurants beach absolutely wonderful, pretty good location car excursions fajardo did lot diving right outside el yunque forest, great time definitely westin,  ",5
625,"simple good location stayed elliot hotel ove rlabor day weekend, graded sutie 9th level floor b/c anniversary, nice, location great shopping prudential center walk freedom trail, ugly hotel old, night long 9th floor heard traffic noise sirens horns blasting ambulances ect, thought stop continued night, ca n't imagine noisey lower levels, bed hard rock, worst slept ac 65 degrees entire time room got 80. nicer hotels area money, staff hotel friendly overly accomedation printed mapquest directions dinner,  ",3
9900,"great location enjoyed stay stayed weekend hotel ideal walking central paris montmartre, convenient walking roissy bus going to/from cdg airport, staff really friendly breakfast good, ideal central non-fussy hotel,  ",5
6925,"wonderful honeymoon hotel loved resort, stayed 7 nights perfect, payed little extra excellence club, check-in check-out separate club efficient regular check-in check-out, greeted arrival told concierge immediately taken excellence club, gave champagne cold washcloths signed piece paper taken straight room, easy, did n't really use excellence club rest week, member eat breakfast breakfast served main restaurant, used free internet club, private concierge 24 hrs day help needs, helpful gracious, got ocean view room, did n't honeymoon package n't imagine treated better, housekeeper turned bed day, restocked mini bar fridge day, jacuzzi tub separate shower huge king-sized bed fresh fruit daily apples pears balcony overlooked ocean pool, comfortable clean beautifully decorated, asked, pools amazing, large pool winds resort, crossed bridges surrounded beds chairs swim bar plenty rafts float, waterfall pool people, good place away, romantic, thing did n't like pools close 6pm cleaning, resort quiet, wanted recluse entire week no bother, room service menu excellent especially desserts, milk cake favorite, ton activities, impossible bored active person, did horseback riding atv ride boogie boarding snorkeling, cost little extra reasonable especially compared things cost states, did horseback ride sunset, beautiful, guide gracious pictures camera, atv ride hours long, went mountains past bunch farmland nearby towns beautiful cave middle town, interesting informative way dominicans actually live, majority poor, guide obviously proud country stopped road point interesting, rained couple times minute, actually rained day little afternoon rest day weather gorgeous, imagine atv ride hot uncomfortable middle summer b/c no shade road, boogie boarding alot fun, waves october perfect, cheap, like 5 hour, snorkeling bit failure, sure n't windy day, boat takes small person got sick, reef not cove middle ocean water rough day went, came early b/c 3 6 ppl group hanging boat, did look water minute reef fish absolutely gorgeous, seven restaurants pick italian french mediterranean asian mexican lobster grill, did n't visit asian mexican ones, fabulous, italian favorite, atmosphere french place romantic, wine list excellent, waiters gracious, entree servings tend smaller american portions order appetizer, order entrees, all-inclusive, look resort flyers ahead time room day plan dinners b/c restaurants close certain nights, breakfast amazing, huge buffet imagine, smoothies custom order omelets omelet station, delicious, man playing piano breakfast morning, beautiful way wake start day, lunch ate grill, good, offered extra fee candlelit dinner beach, did n't taking advantage time, did n't b/c lot gnats beach time evening, beach gorgeous, untouched, prettier florida way crowded touristy waikiki, no trash no kids no seaweed no jellyfish no rocks, sand n't hot wind light breeze, water temperature perfect october, clearest water seen, compared florida hawaii, cocktail waiters served beach bring wanted eat drink, beds beach curtains privacy, ones end boogie board shop quiet night, immediately outside resort little souvenir shops set near beach, shops left prepared haggle, man literally begged buy got offended did n't, liked shop end, facing ocean right, resort hour taxi ride punta cana airport, easiest set taxi ahead time, resort arrange, overall time dr absolutely wonderful, plan anniversary trip someday, all-inclusive talked people resort said excellence punta cana best island, taxi cab driver told thing, thought food amazing all-inclusives known having average food, people talked all-inclusives including sandals said food excellence resorts average, prepared say hola excellente asks doing, wo n't lying,  ",5
6485,"beware hidden costs priceline hotel good deal money hidden cost, naming price surprised charged 12 parking, hotel right street seatac n't exactly high density urban development, felt need charge, arrive late evening did better using airport shuttle getting car day, bathroom needs updating smallest hotel bathrooms seen fixtures appeared motel 6 vintage,  ",3
17597,"fun lloyd fun different experience, rebuildt prison lots surprises i`ve stayed hotelroom thats like, instanse shower toilet room gigantic yellow box, loved design, yes catches.first good walk central station, rent bike day you`ll fine, walk distance twice day, curse while.the noise rooms disturbing, accidentally walked right neighbour day, doors looked properly hear smell sigarette smoked.nice breakfast buffet pricy, 17,5 euros,  ",3
16057,"centrally located hotel enjoyable stay stayed wife parents september 2004. higher floor higher quality room understood, stayed deluxe rooms 8th hall carpet renewed rooms bit worn clean.the best hotel apart price hotel category n't view rooftops forbidden city sufficient breakfast central location end wangfujing shopping street allowing easy access parts city, same-named metro stop end street 15 minutes foot, oriental plaza mall basement filled great restaurants suit anybody needs and/or wishes, visiting great wall simatai ask taxi dongzhimen bus station privately operated mini-van drivers try passengers trip, count 40 2.5 hour drive,  ",3
11813,"modern, pleasant, agreeable, having stayed centre town couple days looking extend stay barcelona, trip extremely busy tourista information placa catalunya resulted nice woman booking room hotel amrey diagonal assured modern, got metro fear hearts did going end horrible monstrosity designed extract money wallets no convenience return, we/i n't wrong wronger, area hotel amrey reviewers fairly partly construction, developing area, makes quite calm compared rampant business barca old town, walk glories metro station really not far mobility impaired carrying luggage matter, 10 minutes slow pace, big shopping centre close buy necessary items, hotel modern style 10 floors believe, service pleasant staff helpful helpful left wallet helped arrange fly uk, floor single long corridor playing volume not intrusive ca n't hear room, rooms minimalist wooden floors furniture, en-suite perfectly functional overly opulent, hotel boasts did n't problems noise not sure floor n't tested claim, perfectly pleasant hotel extended stay extra days n't hesitate return,  ",4
12441,"perfect essence festival, attending essence festival majority events walking distance, enjoy festivities retire renaissance pretty silent, liked room year asked year, hotel gave room modern roomy exposed brick views clean, not bad travels 50 time finds quality rooms arent easy, inside hotel features art works art exhibit floor beautiful, staff willing help make stay enjoyable nice addition,  ",5
16084,"pleasant stay axel, 50-something gay couple california recently stayed axel hotel 3 nights past september trip barcelona, used reviews tripadvisor order select particular hotel bit concerned axel little hip conservative/retiring tastes, not, aware previously expressed negative comments regarding service quality rooms, experience criticisms unfounded, staff uniformly pleasant efficient helpful standard room 5th floor excellent shape clean quite satisfactory, room faced street-side preference did allow street noise enter room not concern, room included slippers terry-cloth robes regularly replenished toiletries towels glassed-in shower large beautiful euro-style fixtures/hardware, mentioned previous posts bed unusually comfortable, downside not resting places luggage folding luggage rack helpful, pay nightly wifi room 6 euro night access speed quick faster home dsl uplink, ate night hotel restaurant pleasantly surprised quality food friendly service, mushroom-cheese risotta argentine steak delicious, surprises people not mention nice roof-top lounge area pool hot-tub exercise room treadmill free-weights weight-machine sauna steam room inviting lounging areas, quibbles hot-tub bit small shallow mentioned pool just dipping sufficient cooling nice sauna, unexpected surprise enjoyment obtained meeting fellow travellers hotel mixed interesting congenial group based just couple communications, pluses plumbing air-conditioning elevator good working order early wake-up taxi-arrangements airport incident, aside regarding laundromats ones directed long blocks away hotel mediocre quality, doing multi-city trip did easier self-service laundry, unless hear better hotel barcelona gay couples definitely staying visit,  ",5
2472,"ritz carlton rated girlfriend went ritz nights new years holiday, ive stayed ritz-carltons times business trips atlanta times new orleans travel work time, best pool beautiful, gym spa nice, beachside restaurant delicious bar nice, far amenities hotel typical rc, beuatiful organized service opinion just 6+ bills/night room near airport view ugly hotel door.the worst main problem hotel constant nickel diming crime situation puerto rico, felt like time turned sign, night took cab old san juan check clubs listen music feel local flavor raves, shady, live freaking jackson ms work new orleans street violence capital, felt uneasy, cab ride ritz, taxi rode bullet hole windshield no joke nuts.the new year party ritz pathetic, not fun, paying price entrance party glass champagne bolted hilton waaaaaaay better party including people actually smiling plenty free drinks music did n't sound like broken harry bellafonte record.the absolute worst second day girlfriends diamond stud earrings bottles cologne stolen room, earrings bottles cologne gifts exchanged arrival, filed police report report hotel security, earrings 4000 supposed replaced rc insurance company receipts, months n't able talk, just blow say investigation, line pr hell hole crime, price rc san juan caneel bay nevis, im pissed earring/eau toilet heist stay le pavillon new orleans great experiences rc,  ",2
1105,"wow, start finish entire experience great, went making feel special wife birthday weekend, room adequately sized exceptionally clean, staying manhatten look no,  ",5
3261,"great hotel great hotel good position san juan, stayed post-cruise.this not visit san juan 7 months previously stayed post-cruise intercontinental price quoted time outrageous, marriott reasonable.we arrived 10 immediately allocated room ready shows merit marriott card holder, nice room large 19th floor sideways best position, good view sea sun large balcony 12 noon sunset, sea view rooms not best hotel faces northwards sun shine balconies.we free wireless internet room resort package worth extra payment.the hotel immediate area plentiful good restaurants eating good, hotel breakfast buffet good value.the main downside hotel pool position sun does not shine pool area short period day, balcony liked hotel little complain return,  ",4
10148,"good value great location decided stay reading glowing review article conde nast traveller magazine april 2006 issue featuring stylish affordable hotels barcelona, facade catches eye distinctive architectural style, rooms mimimalist style clean, mattress firm like pillows tube-shaped ones n't particularly care for.the breakfast buffet wonderful understand restaurant considered best city, not terms amenities 120 euro double ca n't expect, plasma dvd english-language station bbc world.the complaint unseasonably warm not possible cool room ventilation not switched a/c.the hotel situated el born district not far barceloneta beach, lot traffic passes hotel make sure ask room not facing main street,  ",4
17088,"want leave food beverage staff housekeeping staff polite helpful, food meditteraneanrestaurant incredible- ambiance.was wedding matter age, wedding beautiful beach setting wedding planner helpful.my constructive criticism reception soooo not helpful departure day, large group flight time late, not extend stays assist alternate options, family not group situation 2 small children, recieved similar response.overall great experience end, recommend resort just knowledge flights times, taken consideration,  ",4
9642,"just returned wonderful stay nadia hotel hotel located great spot amsterdam.the management staff proud say own/work clean hospitable friendly place.i lost wallet sat evening returned hotel cancel credit cards staff helpful thank help gave.going hotel staff knowledgable great city rooms clean kept clean food nice recommend hotel anyone.we returning nadia hotel near future..,  ",5
18467,"nice hotel great central location nice hotel great central location, visit new york city stayed 7 nghts week july 4. room 16th floor little smaller normally used expected reviews adequate needs, thought room appointed nice contemporary feel quiet, bed comfortable 8 pillows, time hotel did n't extra pillows, enter website confirmation make requests prior arrival, room cleanliness excellent, daily breakfast day good selection breakfast foods, added bonus complimentary light supper served monday, hotel staff friendly accomodating feel welcome happy service, 3rd floor lounge area offered 24 hour coffee tea selection books borrow stay, hotel location excellent vacation central wanted, close 2 subway stations 2-3 blocks times square, happy bit away craziness times square, definately recommend property book return manhatten,  ",5
15559,"best hotels world stayed valley wing shangri la, experience unbeatable, room service pool friendliness staff exceptional, champagne bar really special free champagne wine wanted day long, champagne moet et chandon favorite,  ",5
629,"really awful hotel based reviews inclusion conde nast traveller gold list shocked eliot hotel, staff incompetent fond giving incorrect answers questions totally unsupervised, wife checked room discover shower fell apart turned knob outfitted shower head unacceptable motel 6. door house heating refused stay closed opened not room refusal remain warm winter night, attending wedding door returning 10 past 12 told limited room service menu available, ordered turkey sandwich told 45 minutes hour crack staff simple meal settled wait meal, 15 minutes later received telling no turkey sandwich left things happen world does hotel pretends high class appointed professional staff long discover n't turkey house, especially things allowed order past arbitrary midnight cutoff, housekeeping staff pounds door 6:15 sunday night turndown way shortly asked return later, got home event untouched room par course mess hotel, stay boston eliot not worth time nor money,  ",1
4834,"outstanding hotel visit london twice year chesterfield hotel consider staying, hotel beautiful sophisticated elegant small charming like private club, staff second none makes sure stay best, bar restaraunt excellent food gracious staff, chesterfield like home away home,  ",5
